2020-12-22 06:32:49,761 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,762 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,763 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,763 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,764 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,764 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,765 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,766 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,767 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,767 DEBUG scheduler.TaskRunner$Task: Executing init for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 0, nextrun: 0, starttime: 0, endTime: 0, repeatInterval: 0
2020-12-22 06:32:49,787 DEBUG scheduler.TaskRunner$Task: Executing step: firstStep for application: null, AMSimulator details: AMSIM details for application: null, --> start: 0, end: 1000000000, nextrun: 1608647569786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:50,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647570786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:51,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647571786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:52,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647572786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:53,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647573786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:54,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647574786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:55,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647575786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:56,787 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647576786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:57,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647577786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
2020-12-22 06:32:58,786 DEBUG scheduler.TaskRunner$Task: Executing step: middleStep for application: application_1608647568797_0001, AMSimulator details: AMSIM details for application: application_1608647568797_0001, --> start: 0, end: 1000000000, nextrun: 1608647578786, starttime: 1608647569786, endTime: 1609647569786, repeatInterval: 1000
